問題,答え,読み
30代のころには渋沢栄一の邸宅を、50代のころには東京駅を設計した、明治時代から対象にかけて活躍した建築家は誰？,辰野金吾,たつの きんご
アニメーション監督の新海誠がかつて勤務していた、『軌跡』シリーズや『イース』シリーズなどのゲームを手がける企業は何？,日本ファルコム,にほんファルコム
イギリス英語では「フルストップ」と呼ばれる、英文の終わりなどに打たれる記号をアメリカ英語で何というでしょう？,ピリオド,ピリオド
シアバターを配合した「シアハンドクリーム」をはじめ多くのハンドケア商品を展開する、ふらんす発祥のブランドは何？,ロクシタン,ロクシタン
ジョー・バイデンの選挙戦撤退をうけ、今年(2024年)行われるアメリカ大統領選挙民主党候補に指名された、現在アメリカ副大統領を務める人物は誰？,カマラ・ハリス,ハリス
最後の段には「つひにゆく」と始まる主人公の男の辞世の句が記されている、平安初期に成立した現存する最古の歌物語は何？,『伊勢物語』,いせものがたり
大平内閣や中曽根内閣で大蔵大臣を務め、首相就任後は消費税の導入を行った、島根県に強固な地盤を築いた政治家は誰？,竹下登,たけしたのぼる
食物連鎖で「生産者」の役割に位置づけられる、自ら有機物を作り出すことのできる生物を「何生物」という？,独立栄養生物,どくりつえいようせいぶつ
明治時代には日本初の本格的なワインの醸造所が設立された、全長120mの大仏で有名な茨城県の市はどこ？,牛久市,うしく
友人との旅の様子を記した『モーターサイクル南米旅行日記』は映画化もされた、カストロ兄弟とともにキューバ革命を主導した活動家は誰？,チェ・ゲバラ,チェ・ゲバラ
審判は両手のこぶしを『いとまきのうた』のように回して示す、バスケットボールで、ボールを持ったまま3歩歩いたときなどにとられる反則は何？,トラベリング,トラベリング
書籍版は90万部以上を売り上げ、YouTube動画は2000万回以上再生されている、2020年にオモコロで公開された雨穴のホラー作品は何？,『変な家』,へんないえ
もともとはオムロンの新規事業としてスタートし、2007年に独立した、プリントシール機の国内シェアでトップを誇る企業は何？,フリュー,フリュー
孫弟子にあたる吉野彰も2019年にノーベル化学賞を受賞した、「フロンティア軌道理論」を提唱し日本人として初めてノーベル化学賞を受賞した化学者は誰？,福井謙一,ふくい けんいち
「クリフトン」や「ホンダイ」などのモデルが人気を集める、トレイルランニングのために生まれた分厚いソールのシューズで知られるブランドは何？,HOKA,ホカ
1話ごとに表示される「いいジャン！」のボタンで作品を評価できる、『怪獣8号』や『SPY×FAMILY』などが連載されている漫画アプリは何？,少年ジャンプ+,ジャンププラス
パリの証券取引所に勤める傍ら趣味として絵を描き始め、株価が暴落すると本格的に画家を志すようになった、代表作に『タヒチの女』などがあるフランスの画家は誰？,ポール・ゴーギャン,ポール・ゴーギャン
この値が強いほどボケの強い写真となる、カメラにおいてレンズから入る光の量を表す数値は何？,F値,エフち
滅びゆく王国・パロから逃げ出した双子と、彼らを守る豹の頭をした戦士を中心に物語が進む、栗本薫(くりもと かおる)のファンタジー小説シリーズは何？,『グイン・サーガ』,グイン・サーガ
1896年、東京大学の平瀬作五郎によって精子が存在することが明らかにされ、裸子植物の精子発見第一号となった、「生きている化石」ともいわれる植物は何？,イチョウ,イチョウ
「批判厳禁」や「自由奔放」など４つの原則が存在する、1930年代のアメリカで生まれた、集団で大量のアイデアを生み出すための手法は何？,ブレインストーミング,ブレインストーミング
幕府の軍勢が首謀者の討伐に追われる間、京都とその周辺では大規模な一揆が起こった、1441年に勃発した足利義教(よりのり)の暗殺を端に発する一連の騒動を何という？,嘉吉の乱,かきつのらん
「キャビアを使ったスパゲッティ」というお客さんのリクエストをもとに渋谷のイタリアンレストランで開発された、魚卵を使った定番のパスタ料理は何？,たらこスパゲッティ,たらこスパゲッティ
日本では富山市で採用された事例がよく知られる、郊外に居住地が広がるのを抑え、生活圏をなるべく集約させる都市計画を何という？,コンパクトシティ,コンパクトシティ
一昨年(2022年)には「アフターライフ」、今年(2024年)には「フローズンサマー」と題し続編が日本で公開された、幽霊退治がテーマの映画シリーズは何？,「ゴーストバスターズ」シリーズ,ゴーストバスターズ
夏至の日の太陽の位置を利用して地球の大きさを推定したことや、素数を見つけるための「ふるい」を考案したことで知られる古代ギリシャの学者は誰？,エラトステネス,エラトステネス
日本馬ではビクトワールピサとウシュパテソーロの２頭が優勝を果たしている、毎年3月にドバイで開催される競馬のレースは何？,ドバイワールドカップ,ドバイワールドカップ
1928年の公開から95年が経過し、アメリカでは今年(2024年)からパブリックドメインとなった、ミッキーマウスが初登場した作品として有名なアニメ映画は何？,『蒸気船ウィリー』,じょうきせんウィリー
子猫のときは1~2週間にいちど、成長してからもひと月にいちどは行うべきとされる、室内外の猫に欠かせないケアと言えば何？,爪切り,つめきり
「高度に発達した科学技術は魔法と見分けがつかない」という言葉でも知られる、『幼少期の終わり』や『2001年宇宙の旅』などの名作SFを残したイギリスの作家は誰？,アーサー・C・クラーク,クラーク
英語では「パーチメント」という、紙が普及するまでのヨーロッパで公文書などに使われた、動物の紙を原料にした書写材料は何？,羊皮紙,ようひし
過去には「チョコかけちゃった」や「種ぎっしり」と銘打った派生商品も発売された、夏に食べられるある果物を模したロッテの棒アイスは何？,スイカバー,スイカバー
小文字の「プ」や「リ」などの特殊なカタカナを使って表記されることもある、古くから北海道を中心に話されてきた言語は何？,アイヌ語,アイヌご
かつては１リットルの水や白金とイリジウムの合金を使って、現在はプランク定数をもとにして定義されている、質量のSI基本単位は何？,kg,キログラム
YMOが発表した『イエロー・マジック・オーケストラ』のように、歌手やグループの名前をそのままタイトルに冠した音楽作品のことを何という？,セルフタイトル,セルフタイトル
フリップを除く5種類の4回転ジャンプを成功させ、今年(2024年)３月に行われた世界選手権男子シングルを制したアメリカのフィギュアスケート選手は誰？,イリア・マリニン,イリア・マリニン
高校の国語の教科書の出版元としても知られる、社名を冠した「プリマー新書」や「学芸文庫」といったレーベルを展開する出版社はどこ？,筑摩書房,ちくましょぼう
中心付近にはサボテンが林立するインカワシ島が位置している、雨季には「天空の鏡」と評される絶景が楽しめる世界遺産は何？,ウユニ塩湖,ウユニえんこ
今年度(2024年)から１人につき年額1000円が徴収される、森林の整備に必要な財源を確保するための税金は何？,森林環境税,しんりんかんきょうぜい
田中内閣の「日本列島改造論」をきっかけとする地価や物価の上昇に、オイルショックによる原油価格の高騰が重なって生じた、1974年に起こった激しいインフレのことを何という？,狂乱物価,きょうらんぶっか
統計学において、母集団から一部を抽出して行う調査の方法を「全数調査」に対して何という？,標本調査,ひょうほんちょうさ
三遊亭円朝による『鰍沢』など今日まで伝わる名作も多い、客からもらった３つのお題をもとに即興で話を作る落語の形式は何？,三大噺,さんだいばなし
第一次世界大戦のイタリア戦線で重傷を負い、入院先での看護師との恋愛経験をもとに代表作『武器よさらば』を著した作家は誰？,アーネスト・ヘミングウェイ,アーネスト・ヘミングウェイ
40年以上前にミノルタカメラが売り出した「エクステンダー」という商品が元祖に位置づけられる、スマホと組み合わせて使用する便利アイテムは何？,自撮り棒,じどりぼう
今月(2024年8月)、PlayStarion5とXboxでプレイができる「コンソール版」がリリースされた5人対5人のチーム戦を基本とするライアットゲームズのFPSは何？,『VALORANT』,バロラント
アンリ２世の王妃カトリーヌ・ド・メディシスの出身地にちなんだ名前が付けられている、ナッツとキャラメルの味わいが特徴の焼き菓子は何？,フロランタン,フロランタン
滋賀県の郷土料理「ぜいたく煮」の主な材料となる、干した大根を糠と塩で漬けたお漬物は何？,沢庵,たくあん
豊臣秀吉による朝鮮出兵の際、九州の大名が持ち帰ったことで九州北部に定着したとの言い伝えが残る、佐賀県で県の鳥に指定されているカラス科の鳥は何？,カササギ,カササギ
今年(2024年)のパリ五輪で日下尚(くさか なお)と文田健一郎(ふみた 健一郎)が金メダルを獲得した、腰から下への攻撃が禁止されている男子レスリングの種目は何？,グレコローマンスタイル,グレコローマンスタイル
伊勢神宮のほど近くにはこの神をまつる神社がある、日本神話で、ニニギノミコトが高千穂に降臨するときに道案内をしたとされる神は誰？,猿田彦,さるたひこ
中心部には世界で２番目に高いビル「ムルデカ118」や、2棟(にとう)のビルがつながった「ペトロナスツインタワー」などの超高層ビルがそびえる、東南アジアの国・マレーシアの首都はどこ？,クアラルンプール,クアラルンプール
上智大学の設立母体でもある、16世紀にイグナティウス・デ・ロヨラらによって設立され世界各地でキリスト教の布教を行った修道会は何？,イエズス会,イエズスかい
おおぐま座のすぐそばに位置し、「クマの番人」という意味の名前がつけられた、春の夜空でオレンジ色に輝く1等星は何？,アークトゥルス,アークトゥルス
あるシェークスピア作品を上演しようとする演劇部員たちのせめぎあいを描く、実話をもとにした中屋敷法仁(なかやしき のりひと)の戯曲は何？,贋作マクベス,がんさくマクベス
蒸気などの力を使い、通常の方法では落とせない毛穴の奥の汚れを落とすクレンジングを特に「何クレンジング」という？,ディープクレンジング,ディープクレンジング
信仰していた軍神にちなんで「愛」という感じが大きくあしらわれた兜を用いた、戦国時代に上杉家の重臣として活躍した武将は誰？,直江兼続,なおえ かねつぐ
もともとは千葉県成田市に位置していたが、空港の建設にともなって栃木県高根沢町へと移転した、皇室が用いる馬や農産物を育てる牧場は何？,御料牧場,ごりょうぼくじょう
『クレヨンしんちゃん』の劇場版最新作(2024年)と、『ドラえもん』の劇場版第1作のタイトルに共通して使われている漢字2文字の言葉は何？,恐竜,きょうりゅう
「ある音楽グループやジャンルを象徴するような曲」という意味で用いられることもある、宗教的な聖歌や賛美歌を意味する英単語は何？,anthem,アンセム
量子のふるまいを記述するために経路積分や独自のダイヤグラムを考案した、ユーモアにあふれた自伝でも知られる20世紀の物理学者は誰？,リチャード・P・ファインマン,リチャード・フィリップス・ファインマン
ハムの種類で、「ロースハム」にはもちろんロースが使われますが、「ボンレスハム」には豚肉のどこの部位が使われる？,モモ,モモ
販売開始当時まだ新しかった「テレビジョン」にちなんだ名前を持つ、アメリカの楽器メーカー・フェンダーが生み出したエレキギターのモデルは何？,テレキャスター,テレキャスター
日本プロ野球の12球団中9球団のホーム球場に出店しており、今年(2024年)3月にはMLBのドジャー・スタジアムにも出店を果たした、人気のたこ焼きチェーンは何？,築地銀だこ,つきじぎんだこ
天才的な頭脳と超能力を持つ少女が、両親や校長といった大人たちに立ち向かう、ロアルド・ダールの児童文学は何？,『マチルダは小さな大天才』,マチルダはちいさなだいてんさい
かつては水運の大動脈として利用され、港のある酒田(さかた)まで米やベニバナなどの産品が輸送されていた、山形県の庄内平野を流れる一級河川は何？,最上川,もがみがわ
アインシュタインによって存在が予言されてから100年後の2015年に初めて検出された、質量の大きな天体同士が衝突した際などに発生する波を何という？,重力波,じゅうりょくは
パン作りに使うものには、ガス抜きのため表面に細かい凹凸が付いたものも存在する、パンのほかにもそばやうどんを作る際に使われる道具は何？,めん棒,めんぼう
今年(2024年)2月には、最長1分間の動画を出力できる生成AIの「Sora」を発表した、対話型生成AIの「ChatGPT」を提供しているアメリカの企業は何？,OpenAI,オープンAI
壁と床の境目を狙う「ニックショット」や、横や後ろの壁に当ててから正面の壁に当てる「ボースト」といった技がある球技は何？,スカッシュ,スカッシュ
東南アジアに位置するラオス、カンボジア、ベトナムの3カ国は、19世紀末から20世紀前半にかけて、どこの国の植民地支配を受けていた？,フランス,フランス
全身の細胞を組み替え、見た相手そっくりに変身することができる、ゲーム「ポケットモンスター」シリーズに初代から登場するノーマルタイプのポケモンは何？,メタモン,メタモン
俳句で「手を上げて足を運べば」と詠まれるほどシンプルな振り付けが特徴の、徳島県の伝統的な盆踊りは何？,阿波踊り,あわおどり
町の発展スピードに都市計画が追い付かず、大都市近郊の山林などが無秩序に宅地化されてしまう現象を「何現象」という？,スプロール現象,スプロールげんしょう
細菌やウイルスをほとんど含まないため、食あたりを起こさない牡蠣の養殖にも利用されている、太陽光の届かない水深200mよりも深い部分にある海水を何という？,海洋深層水,かいようしんそうすい
後に第4代正統カリフとなるアリーを夫にもち、北アフリカに興った(おこった)シーア派の王朝に名を冠することにもなった、イスラーム教の開祖・ムハンマドの四女は誰？,ファーティマ,ファーティマ
実家である大阪の老舗昆布店は、デビュー作『暖簾(のれん)』のモデルとなっている、社会派小説の『白い巨塔』『沈まぬ太陽』などを著した作家は誰？,山崎豊子,やまさき とよこ
「薬を飲みやすくするために利用している」との医師の声を受け、昨年(2023年)には服薬補助専用の派生商品が発売された、クラシエのロングセラー商品は何？,ねるねるねるね,ねるねるねるね
ほぼ同じ構図の作品が2枚存在し、それぞれボストン美術館と山梨県立美術館に所蔵されている、働く農民の力強い姿を描いたミレーの絵画は何？,『種まく人』,たねまくひと
海を隔てた隣国・サウジアラビアとは全長25kmの端で結ばれている、首都をマナーマにおく中東の島国はどこ？,バーレーン,バーレーン
これまでに「居反り(いぞり)」や「たすき反り」などの珍しい決まり手を披露してきた、ピンク色のまわしも特徴的な幕内力士は誰？,宇良,うら
トスカーナの貴族のために作られた「イタリアンフルーツ」や、美しい白色が特徴の「ベッキオホワイト」で知られる、イタリアの陶磁器メーカーは何？,ジノリ1735,ジノリ1735
もともとはモンロー大統領の肖像画を描くなど、優れた画家として名声を得ていた、2種類の信号の組み合わせで文字を表す符号に名を残しているアメリカの人物は誰？,サミュエル・モールス,モールス
結成当初は戦国時代の槍にちなんだ「魔人武骨」というコンビ名を用いていた、昨年(2023年)のM-1グランプリで優勝したお笑いコンビは何？,令和ロマン,れいわロマン
「第一発見者」のカードを配られた人が事件の内容を話してゲームが始まる、様々な効果の手札を使いながら「犯人」のカードの持ち主を当てるカードゲームは何？,『犯人は踊る』,はんにんはおどる
「ウィッシュボーン」や「スパイダーマン」といったポーズがある、天井からつるされたハンモックにぶら下がって行うヨガの一種は何？,エアリアルヨガ,エアリアルヨガ
あまりに清廉潔白すぎる人物はかえって人に親しまれないということをいったことわざで、「水清ければ」に続く言葉は何？,魚棲まず,うおすまず
平安中期以降は盛大な儀式を行うようになった、天皇の后となる人物が天皇の住まいである内裏にはいることを何という？,入内,じゅだい
晩年には『春宵十話(しゅんしょうじゅうわ)』など多くの随筆を残した、多変数複素関数論分野を開拓した業績で知られる日本の数学者は誰？,岡潔,おか きよし
お供え物に刃物を向けるのは縁起が悪いとして、包丁ではなく木槌を用いるのがよいとされる、お正月に飾っていた鏡餅をお雑煮やお汁粉にして食べる行事を何という？,鏡開き,かがみびらき
日本では2001年にねぎや生しいたけに対して暫定的に発動された、自国の産業を守るため、関税の引き上げなどの手段で特定の品目の輸入に制限をかける緊急措置をなんという？,セーフガード,セーフガード
「つぶつぶ」「もかもか」「かぷかぷ」といった特徴的なオノマトペが登場する、2匹の蟹を主人公とする宮沢賢治の童話は何？,『やまなし』,やまなし
TWICEのMOMOがブランドミューズを務めている、涙袋メイクの第一人者であるメイクアップアーティストが立ち上げた韓国のコスメブランドは何？,Wonjungyo,ウォンジョンヨ
海水を淡水化する装置などに応用されている、2つの溶液を半透膜で隔てて濃度の高いほうに圧力をかけ、濃度の低い方へ溶媒を移動させる操作を何という？,逆浸透,ぎゃくしんとう
昨年(2023年)発表した『なれのはて』と、2020年に発表した『オルタネート』で2度直木賞候補となている、アイドルグループ・NEWSのメンバーは誰？,加藤シゲアキ,かとうしげあき
独特の生態系が根付いており、世界で唯一淡水のみに住むアザラシがその頂点にあるとされている、ロシアの南東部に位置する世界一深い湖は何？,バイカル湖,バイカルこ
相手セッターが上げるトスを見極めてからジャンプする、バレーボールにおけるブロックの一種は「何ブロック」？,リードブロック,リードブロック
第2次国共合作が成立するきっかけとなった、1936年に軍人の帳学良(チョウガクリョウ)らによって蒋介石が監禁された事件を「何事件」という？,西安事件,シーアンじけん
日本では「コール天」とよばれることもある、、表面に畝が付いており保湿性や吸水性に優れている織物の一種は何？,コーデュロイ,コーデュロイ
遺伝子工学の分野で幅広く利用されている、特定の塩基配列を認識し、二本鎖DNAを切断することのできる酵素を「何酵素」という？,制限酵素,せいげんこうそ
一度はバレエの道をあきらめた中学生・村尾潤平が、転校生の五代都(ごだい みやこ)との出会いをきっかけに再びバレエに取り組む姿を描いた、ジョージ朝倉の漫画は何？,『ダンス・ダンス・ダンスール』,ダンス・ダンス・ダンスール
古くは天然のものが接着剤やみいらの防腐剤として利用されていた、現在は道路の舗装で目にすることが多い物質は何？,アスファルト,アスファルト
今年は(2024年)は日本人の山本理顕(やまもと りけん)が受賞した、「建築界のノーベル賞」といわれる賞は何？,プリツカー賞,プリツカーしょう
宮崎あおいと松田龍平の主演で映画化、池田エライザと野田洋次郎の主演でドラマ化されている、辞書編纂者たちの奮闘を描く三浦しをんの小説は何？,『舟を編む』,ふねをあむ
歴史学者の磯田道史は小学生時代に自宅の庭で再現したという、日本では縄文時代から奈良時代に広く見られた半地下式の住居は何？,竪穴住居,たてあなじゅうきょ
知識人の政治参加を「アンガージュマン」と称し、アルジェリアの独立に支持を表明するなど自ら実践した、『存在と無』などの著書を残したフランスの哲学者は誰？,ジャン=ポール・サルトル,サルトル
日本では古くから高野豆腐や寒天を作る際に同様の方法が取られていた、食品などを一度冷凍してから真空状態に置くことで水分を飛ばす技術を何という？,フリーズドライ,フリーズドライ
「骨と皮ばかりの」「瘦せこけた」という意味がある、脚のラインにぴったりと沿った細身のパンツを形容するのに用いる英単語は何？　,skinny,スキニー
2022年からイングランド女子サッカーリーグ1部のマンチェスター・シティに所属している、なでしこジャパンの攻撃の司令塔として活躍するサッカー選手は誰？,長谷川唯,はせがわ ゆい
鹿児島の奄美地方ではその実が「なり味噌」などの食品に使われる、ヤシの木に似た姿をした植物は何？,ソテツ,ソテツ
マイルス・デイヴィスとはアルバム『カインド・オブ・ブルー』で共演を果たしている、『ワルツ・フォー・ビデイ』などのアルバムで有名なジャズ・ピアニストは誰？,ビル・エヴァンズ,ビル・エヴァンス
全世界で約2億本を売り上げ、家庭にインターネットが普及するきっかけになった、来年(2025年)発売から30周年を迎えるWindowsシリーズのOSは何？,Windows95,ウィンドウズ95
ほったゆみ原作の『ヒカルの碁』や、大場つぐみ原作の『バクマン。』『DEATH NOTE』などの作品で作画を担当した漫画家は誰？,小畑健,おばた たけし
本になったときの読みやすさを追求するため、DTPソフトを用いて執筆しているという、代表作に「百鬼夜行」シリーズなどがある作家は誰？,京極夏彦,きょうごくなつひこ
海洋プレートが大陸プレートの下に沈み込む際、海洋プレートの上の堆積物がはぎ取られ、大陸プレートのふちにくっついたもののことを地質学の用語で何という？,付加体,ふかたい
カツラの木があるという伝説にちなむ「玉桂(たまかつら)」、ウサギが住むという伝説にちなむ「玉兎(ぎょくと)」といえば、ずばり何の別名？,月,つき
1989年に革命が起きるまで、長きにわたってチャウシェスク大統領による独裁政権が行われていた、東欧の国はどこ？,ルーマニア,ルーマニア
鳥の羽や貝殻を用いて作られることもある、ハワイの人が歓迎やお祝いの気持ちを込めて首にかける飾りは何？,レイ,レイ
フランスの画家・ボージャンの『巻菓子のある静物』という絵画をヒントに生み出された、老舗洋菓子メーカーのヨックモックが販売するお菓子は何？,シガール,シガール
1970年代にコンピュータを駆使した4年がかりの照明によって肯定的に解決された、地図上の隣り合う土地を題材とした数学上の問題はなに？,四色問題,よんしょくもんだい
江戸時代に入ってから書かれた『正忍記(しょうにんき)』や『万川集海(ばんせんしゅうか)』といえば、それまで秘密裏に伝えられてきた、どんなことについて記した書物？,忍術(忍者),にんじゅつ(にんじゃ)
ショパンは最も有名な第2番をはじめ20あまりの作品を残した、主にピアノのために作られ、夜を思わせるゆったりとしたテンポのものが一般的な楽曲の種類は何？,ノクターン,ノクターン
2026年には日本を上回り、名目GDPで世界4位に浮上する見込みとなっているアジアの国はどこでしょう？,インド,インド
SiriやGoogleアシスタントにライトを点灯するための言葉として実装されている、「ハリー・ポッター」シリーズでおなじみの呪文は何？,ルーモス,ルーモス
周辺地域で多くの部品が製造されている縁から、敷地内の商業施設にボーイング787の初号機の実物が展示されている、愛知県常滑市に位置する国際空港は何？,中部国際空港,ちゅうぶこくさいくうこう
ファースト、サード、レフトの3ポジションを守れるユーティリティープレーヤーとしての一面も持つ、読売ジャイアンツの4番としてチームを牽引するスラッガーは誰？,岡本和真,おかもと かずま
水難事故から身を守るために体育の授業などで指導が行われる、服を着た状態で水に溺れないようにするための対処法を一般に何という？,着衣泳,ちゃくいえい
ファンからは親しみをこめて「モーさま」と呼ばれている、『トーマの心臓』『ポーの一族』などの作品で少女漫画の黄金期を築いた漫画家は誰？,萩尾望都,はぎお もと
「ケリー」「コッヘル」「ペアン」などの種類がある、外科手術で使用されるはさみのような形の医療器具を総称して何という？,鉗子,かんし
揺れる船の上で醤油を使わずに作れる魚料理として考案された、味の切り身を味噌や薬味と一緒にたたいた千葉県の郷土料理は何？,なめろう,なめろう
首相暗殺の濡れ衣を着せられた青年・青柳雅春(あおやぎ まさはる)の数奇な逃亡劇を描いた、本屋大賞も受賞した伊坂幸太郎の小説は何？,『ゴールデンスラバー』,ゴールデンスラバー
特徴的な模様を持つ種類は「カールおじさん」や「ウルトラマン」と呼ばれダイバーたちの間で親しまれている、漢字では「海鞘(うみのさや)」と書く生き物は何？,ホヤ,ホヤ
キャンパスから車で10分ほどの場所にGoogle本社が位置している、Google創業者のラリー・イジとセルゲイ・プリンが在籍していた名門大学は何？,スタンフォード大学,スタンフォードだいがく
富士パックスが販売するシートタイプの「パチカット」や、ライオンが販売するスプレータイプの「エレガード」といえば、何の対策のためのグッズ？,静電気,せいでんき
高校入学時の自己紹介で口にした「ただの人間には興味ありません」という言葉も有名な、谷川流(たにがわ ながる)のライトノベルの登場人物は誰？,涼宮ハルヒ,すずみやハルヒ
卓球の国際的な競技規則において、ラケットの少なくとも片方の面は、何色にしなければならないと決められている？,黒,くろ
「人生、全とっかえ。」というコンセプトをかかげ、今年(2024年)3月、お台場にオープンした、没入型アトラクションが楽しめるテーマパークは何？,イマーシブ・フォート東京,イマーシブ・フォートとうきょう
サントメ・プリンシペ、セントクリストファー・ネービス、シリア、パナマに共通する、国旗に書かれた星の数はいくつ？,２つ,２つ
これをもちいた製品が最初に売り出された際は「鋼鉄よりも強く、くもの糸より細い」というキャッチコピーで宣伝された、1935年に開発された世界初の合成繊維は何？,ナイロン,ナイロン
童謡『おもちゃのチャチャチャ』の作詞も手掛けている、自身の戦争体験をもとに『アメリカひじき』や『火垂るの墓』などの小説を残した作家は誰？,野坂昭如,のさか あきゆき
ちゃんぴおんずやママタルトといった若手芸人も所属している、毎月、浅草の「東洋館」で寄席を主催している団体は何？,漫才協会,まんざいきょうかい
第一次オイルショックによる不景気の中発売された、「幸せが戻ってきてほしい」という思いから名づけられた亀田製菓のお菓子は何？,ハッピーターン,ハッピーターン
災害時の安否確認サービス「Q-ANPI」や災害の危機管理通報を行う「災害通報」などに利用されている、「日本版GPS」ともよばれる衛星測位システムは何？,みちびき,みちびき
ハートやリーフの模様を描ける「フリーポア」や、より細かい絵を表現できる「エッジング」といえば、何をするときの技法？,ラテアート,ラテアート
人体組織との適合性が高く、ペースメーカーの容器や人工関節といった医療器具の材料としてよく用いられる、元素記号Tiの金属元素は何？,チタン,チタン
古くから門前町では特徴的な「逆さ門松」を飾る風習がある、毎年1月の「福男選び」で有名な兵庫県の神社はどこ？,西宮神社,にしのみやじんじゃ
「身近な社会的な話題」についてのコミュニケーション能力が求められる、来年度(2025年)から英検の準2級と2級の間に新設される級は何？,準2級プラス,じゅん2きゅうプラス
昨年(2023年)、やばいTシャツ屋さんのありぼぼとの結婚を発表した、ユニット「怪奇！YesどんぐりRPG」の一員としても知られるピン芸人は誰？,どんぐりたけし,どんぐりたけし
1980年代に『ルパン三世』の劇場版作品を手掛ける企画があったが幻に終わっている、『GOHST IN THE SHELL/攻殻機動隊』などの作品で知られるアニメ監督は誰？,押井守,おしい まもる
『ふたりはいっしょ』や『ふたりはいつもともだち』といった続編もある、仲良しのがまくんとかえるくんのお話がおさめられたアーノルド・ローベルの絵本は何？,『ふたりはともだち』,ふたりはともだち
2006年に創設され、現在は全国に9000か所以上存在する、幼稚園と保育園の機能をあわせ持った施設は何？,認定こども園,にんていこどもえん
「生物がよく使う部分は発達し、使わない部分は退化する」という、生物学者のラマルクが提唱した進化に関するかつての学説を何という？,用不用説,ようふようせつ
洋服のタグなどでは「PRC」、スポーツの中継などでは「CHN」と略記される、東アジアの国はどこ？,中国,ちゅうごく
山東京伝(さんとうきょうでん)に入門し、初めは黄表紙(きびょうし)を書いていた、読本の『椿説弓張月(ちんせつゆみはりづき)』や『南総里見八犬伝』で知られる江戸時代の戯作者は誰？,滝沢馬琴,たきざわ ばきん
主な国際大会には「Red Bull BC One」などがある、今年(2024年)のパリ五輪ではAmiやShigekixといった日本人選手が活躍した競技は何？,ブレイキン,ブレイキン
第二次世界大戦中にたった一晩で作曲した逸話でも有名な、バレエ音楽『ガイーヌ』の再終幕で演奏されるハチャトゥリアンの楽曲は何？,『剣の舞』,つるぎのまい
